Ticker,Earnings_Date,Actual_EPS,Expected_EPS
AAPL,2025-10-30,1.85,1.77
AAPL,2025-07-31,1.57,1.43
AAPL,2025-05-01,1.65,1.63
AAPL,2025-01-30,2.40,2.35

MSFT,2025-10-29,3.72,3.66
MSFT,2025-07-30,3.65,3.38
MSFT,2025-04-30,3.46,3.22
MSFT,2025-01-29,3.23,3.10

GOOGL,2025-10-29,2.87,2.26
GOOGL,2025-07-23,2.31,2.19
GOOGL,2025-04-24,2.81,2.01
GOOGL,2025-02-04,2.15,2.13

JPM,2025-10-14,5.07,4.87
JPM,2025-07-15,4.96,4.47
JPM,2025-04-11,5.07,4.64
JPM,2025-01-15,4.81,4.04

GS,2025-10-14,12.25,11.09
GS,2025-07-16,10.91,9.66
GS,2025-04-14,14.37,12.29
GS,2025-01-15,10.97,8.29

BAC,2025-10-15,1.06,0.95
BAC,2025-07-16,0.89,0.86
BAC,2025-04-15,0.90,0.81
BAC,2025-01-16,0.82,0.77

JNJ,2025-10-14,2.8,2.76
JNJ,2025-07-16,2.77,2.68
JNJ,2025-04-15,2.77,2.58
JNJ,2025-01-22,2.04,2.01

PFE,2025-11-04,0.87,0.63
PFE,2025-08-05,0.51,0.36
PFE,2025-04-29,0.92,0.67
PFE,2025-02-04,0.63,0.46

UNH,2025-10-28,2.92,2.81
UNH,2025-07-29,4.08,4.45
UNH,2025-04-17,6.85,6.93
UNH,2025-01-16,6.81,6.74

XOM,2025-10-31,1.76,1.79
XOM,2025-08-01,1.64,1.56
XOM,2025-05-02,1.76,1.74
XOM,2025-01-31,1.67,1.55

CVX,2025-10-31,1.82,1.94
CVX,2025-08-01,1.77,2.15
CVX,2025-05-02,2.18,1.74
CVX,2025-01-31,1.84,1.53

AMZN,2025-10-30,1.95,1.56
AMZN,2025-07-31,1.68,1.32
AMZN,2025-05-01,1.59,1.36
AMZN,2025-02-06,1.86,1.48

TSLA,2025-10-22,0.39,0.44
TSLA,2025-07-23,0.33,0.30
TSLA,2025-04-22,0.12,0.35
TSLA,2025-01-29,0.73,0.77

CAT,2025-10-29,4.95,4.52
CAT,2025-08-05,4.72,4.90
CAT,2025-04-30,4.25,4.34
CAT,2025-01-30,5.14,5.03

BA,2025-10-29,-7.47,-2.38
BA,2025-07-29,-1.24,-1.27
BA,2025-04-23,-0.49,-1.30
BA,2025-01-28,-5.90,-3.78
